,x_start,y_start,x_end,y_end,line_id
0,202.37,19.489,199.744,20.913,0020-0202
1,199.744,20.913,199.84,20.943,0020-0202
2,199.84,20.943,199.935,20.972,0020-0202
3,199.935,20.972,200.031,21.002,0020-0202
4,200.031,21.002,200.126,21.031,0020-0202
5,200.126,21.031,200.222,21.06,0020-0202
6,200.222,21.06,200.318,21.09,0020-0202
7,200.318,21.09,200.413,21.119,0020-0202
8,200.413,21.119,200.509,21.149,0020-0202
9,200.509,21.149,200.604,21.178,0020-0202
10,200.604,21.178,200.7,21.208,0020-0202
11,200.7,21.208,199.649,20.884,0020-0202
12,199.649,20.884,200.795,21.237,0020-0202
13,200.795,21.237,200.986,21.296,0020-0202
14,200.986,21.296,201.082,21.326,0020-0202
15,201.082,21.326,201.178,21.355,0020-0202
16,201.178,21.355,201.273,21.385,0020-0202
17,201.273,21.385,201.369,21.414,0020-0202
18,201.369,21.414,201.464,21.444,0020-0202
19,201.464,21.444,201.56,21.473,0020-0202
20,201.56,21.473,201.655,21.503,0020-0202
21,201.655,21.503,201.751,21.532,0020-0202
22,201.751,21.532,201.846,21.562,0020-0202
23,201.846,21.562,201.942,21.591,0020-0202
24,201.942,21.591,200.891,21.267,0020-0202
25,200.891,21.267,202.038,21.621,0020-0202
26,202.038,21.621,199.553,20.854,0020-0202
27,199.553,20.854,199.362,20.795,0020-0202
28,199.362,20.795,196.935,20.226,0020-0202
29,196.935,20.226,197.034,20.24,0020-0202
30,197.034,20.24,197.133,20.254,0020-0202
31,197.133,20.254,197.233,20.268,0020-0202
32,197.233,20.268,197.332,20.281,0020-0202
33,197.332,20.281,197.431,20.295,0020-0202
34,197.431,20.295,197.53,20.309,0020-0202
35,197.53,20.309,197.629,20.323,0020-0202
36,197.629,20.323,197.728,20.337,0020-0202
37,197.728,20.337,197.827,20.351,0020-0202
38,197.827,20.351,197.926,20.365,0020-0202
39,197.926,20.365,199.458,20.825,0020-0202
40,199.458,20.825,198.12,20.412,0020-0202
41,198.12,20.412,198.311,20.471,0020-0202
42,198.311,20.471,198.406,20.5,0020-0202
43,198.406,20.5,198.502,20.53,0020-0202
44,198.502,20.53,198.598,20.559,0020-0202
45,198.598,20.559,198.693,20.589,0020-0202
46,198.693,20.589,198.789,20.618,0020-0202
47,198.789,20.618,198.884,20.648,0020-0202
48,198.884,20.648,198.98,20.677,0020-0202
49,198.98,20.677,199.075,20.707,0020-0202
50,199.075,20.707,199.171,20.736,0020-0202
51,199.171,20.736,199.266,20.766,0020-0202
52,199.266,20.766,198.215,20.441,0020-0202
53,198.215,20.441,196.836,20.212,0020-0202
54,196.836,20.212,202.133,21.65,0020-0202
55,202.133,21.65,202.324,21.709,0020-0202
56,202.324,21.709,205.116,22.489,0020-0202
57,205.116,22.489,205.213,22.512,0020-0202
58,205.213,22.512,205.31,22.536,0020-0202
59,205.31,22.536,205.408,22.56,0020-0202
60,205.408,22.56,205.505,22.583,0020-0202
61,205.505,22.583,205.602,22.607,0020-0202
62,205.602,22.607,205.699,22.63,0020-0202
63,205.699,22.63,205.796,22.654,0020-0202
64,205.796,22.654,205.893,22.678,0020-0202
65,205.893,22.678,205.991,22.701,0020-0202
66,205.991,22.701,206.088,22.725,0020-0202
67,206.088,22.725,205.019,22.465,0020-0202
68,205.019,22.465,206.185,22.748,0020-0202
69,206.185,22.748,206.379,22.796,0020-0202
70,206.379,22.796,206.476,22.819,0020-0202
71,206.476,22.819,206.574,22.843,0020-0202
72,206.574,22.843,206.671,22.866,0020-0202
73,206.671,22.866,206.768,22.89,0020-0202
74,206.768,22.89,206.865,22.914,0020-0202
75,206.865,22.914,206.962,22.937,0020-0202
76,206.962,22.937,207.06,22.961,0020-0202
77,207.06,22.961,207.157,22.984,0020-0202
78,207.157,22.984,207.254,23.008,0020-0202
79,207.254,23.008,207.351,23.032,0020-0202
80,207.351,23.032,206.282,22.772,0020-0202
81,206.282,22.772,202.229,21.68,0020-0202
82,202.229,21.68,204.922,22.442,0020-0202
83,204.922,22.442,204.727,22.394,0020-0202
84,204.727,22.394,202.42,21.739,0020-0202
85,202.42,21.739,202.515,21.768,0020-0202
86,202.515,21.768,202.611,21.797,0020-0202
87,202.611,21.797,202.706,21.827,0020-0202
88,202.706,21.827,202.802,21.856,0020-0202
89,202.802,21.856,202.898,21.886,0020-0202
90,202.898,21.886,202.993,21.915,0020-0202
91,202.993,21.915,203.089,21.945,0020-0202
92,203.089,21.945,203.184,21.974,0020-0202
93,203.184,21.974,203.28,22.004,0020-0202
94,203.28,22.004,203.375,22.033,0020-0202
95,203.375,22.033,204.824,22.418,0020-0202
96,204.824,22.418,203.471,22.063,0020-0202
97,203.471,22.063,203.662,22.122,0020-0202
98,203.662,22.122,203.758,22.151,0020-0202
99,203.758,22.151,203.853,22.181,0020-0202
100,203.853,22.181,203.95,22.206,0020-0202
101,203.95,22.206,204.047,22.229,0020-0202
102,204.047,22.229,204.144,22.253,0020-0202
103,204.144,22.253,204.241,22.276,0020-0202
104,204.241,22.276,204.339,22.3,0020-0202
105,204.339,22.3,204.436,22.324,0020-0202
106,204.436,22.324,204.533,22.347,0020-0202
107,204.533,22.347,204.63,22.371,0020-0202
108,204.63,22.371,203.566,22.092,0020-0202
109,203.566,22.092,207.448,23.055,0020-0202
110,207.448,23.055,196.737,20.198,0020-0202
111,196.737,20.198,196.539,20.17,0020-0202
112,196.539,20.17,193.015,17.986,0020-0202
113,193.015,17.986,192.915,17.996,0020-0202
114,192.915,17.996,192.816,18.006,0020-0202
115,192.816,18.006,192.716,18.016,0020-0202
116,192.716,18.016,192.617,18.026,0020-0202
117,192.617,18.026,192.517,18.036,0020-0202
118,192.517,18.036,192.418,18.046,0020-0202
119,192.418,18.046,192.318,18.056,0020-0202
120,192.318,18.056,192.227,18.097,0020-0202
121,192.227,18.097,192.172,18.18,0020-0202
122,192.172,18.18,192.116,18.263,0020-0202
123,192.116,18.263,193.114,17.976,0020-0202
124,193.114,17.976,192.061,18.346,0020-0202
125,192.061,18.346,191.95,18.513,0020-0202
