x	y	line_id
87.888	113.711	0082-0122
87.809	113.773	0082-0122
87.730	113.834	0082-0122
87.651	113.896	0082-0122
87.572	113.958	0082-0122
87.494	114.019	0082-0122
87.415	114.081	0082-0122
87.336	114.143	0082-0122
87.257	114.204	0082-0122
87.179	114.266	0082-0122
87.100	114.327	0082-0122
87.021	114.389	0082-0122
86.942	114.451	0082-0122
86.864	114.512	0082-0122
86.785	114.574	0082-0122
86.706	114.635	0082-0122
86.627	114.697	0082-0122
86.549	114.759	0082-0122
86.470	114.820	0082-0122
86.391	114.882	0082-0122
86.312	114.943	0082-0122
86.233	115.005	0082-0122
86.155	115.067	0082-0122
86.076	115.128	0082-0122
85.997	115.190	0082-0122
85.918	115.252	0082-0122
85.840	115.313	0082-0122
85.761	115.375	0082-0122
85.682	115.436	0082-0122
85.603	115.498	0082-0122
85.525	115.560	0082-0122
85.446	115.621	0082-0122
85.367	115.683	0082-0122
85.288	115.744	0082-0122
85.210	115.806	0082-0122
85.131	115.868	0082-0122
85.052	115.929	0082-0122
84.973	115.991	0082-0122
84.894	116.053	0082-0122
84.816	116.114	0082-0122
84.737	116.176	0082-0122
84.658	116.237	0082-0122
84.579	116.299	0082-0122
84.501	116.361	0082-0122
84.422	116.422	0082-0122
84.343	116.484	0082-0122
84.264	116.545	0082-0122
84.186	116.607	0082-0122
84.107	116.669	0082-0122
84.028	116.730	0082-0122
83.949	116.792	0082-0122
83.870	116.853	0082-0122
83.792	116.915	0082-0122
83.713	116.977	0082-0122
83.634	117.038	0082-0122
83.555	117.100	0082-0122
83.477	117.162	0082-0122
83.398	117.223	0082-0122
83.319	117.285	0082-0122
83.240	117.346	0082-0122
83.162	117.408	0082-0122
83.083	117.470	0082-0122
83.004	117.531	0082-0122
82.925	117.593	0082-0122
82.847	117.654	0082-0122
82.768	117.716	0082-0122
82.689	117.778	0082-0122
82.610	117.839	0082-0122
82.531	117.901	0082-0122
82.453	117.962	0082-0122
82.374	118.024	0082-0122
82.295	118.086	0082-0122
82.216	118.147	0082-0122
82.138	118.209	0082-0122
82.059	118.271	0082-0122
81.980	118.332	0082-0122
81.901	118.394	0082-0122
81.823	118.455	0082-0122
81.744	118.517	0082-0122
81.665	118.579	0082-0122
81.586	118.640	0082-0122
81.508	118.702	0082-0122
81.430	118.765	0082-0122
81.353	118.829	0082-0122
81.276	118.893	0082-0122
81.199	118.957	0082-0122
81.123	119.021	0082-0122
81.046	119.085	0082-0122
80.969	119.149	0082-0122
80.892	119.213	0082-0122
80.815	119.277	0082-0122
80.739	119.341	0082-0122
80.662	119.405	0082-0122
80.585	119.469	0082-0122
80.508	119.533	0082-0122
80.432	119.598	0082-0122
80.355	119.662	0082-0122
80.278	119.726	0082-0122
